dataset,model,feature_label,feature_family,context_indicator,n,base_mean,score_mean,delta_mean,global_delta_mean,diff_from_global,win_rate,loss_rate,tie_rate
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,cell.has_comma_number,636,0.559748427672956,0.539308176100629,-0.020440251572327043,-0.017676767676767676,-0.002763483895559367,0.09276729559748427,0.11320754716981132,0.7940251572327044
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,cell.has_currency,87,0.6551724137931034,0.5402298850574713,-0.11494252873563218,-0.017676767676767676,-0.0972657610588645,0.034482758620689655,0.14942528735632185,0.8160919540229885
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,cell.has_date_like,896,0.5970982142857143,0.5859375,-0.011160714285714286,-0.017676767676767676,0.00651605339105339,0.08705357142857142,0.09821428571428571,0.8147321428571429
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,cell.has_numeric_range,423,0.5933806146572104,0.5815602836879432,-0.01182033096926714,-0.017676767676767676,0.005856436707500537,0.09456264775413711,0.10638297872340426,0.7990543735224587
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,cell.has_percent,154,0.538961038961039,0.6103896103896104,0.07142857142857142,-0.017676767676767676,0.0891053391053391,0.13636363636363635,0.06493506493506493,0.7987012987012987
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,cell.has_score_surface,55,0.4727272727272727,0.34545454545454546,-0.12727272727272726,-0.017676767676767676,-0.10959595959595958,0.03636363636363636,0.16363636363636364,0.8
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,cell.missing_value_marker,1514,0.5924702774108322,0.5733157199471598,-0.01915455746367239,-0.017676767676767676,-0.0014777897869047152,0.08652575957727873,0.10568031704095113,0.8077939233817701
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,grounding.cell_overlap,1516,0.5883905013192612,0.5732189973614775,-0.015171503957783642,-0.017676767676767676,0.0025052637189840344,0.08575197889182058,0.10092348284960422,0.8133245382585752
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,grounding.header_overlap,1204,0.5996677740863787,0.5739202657807309,-0.02574750830564784,-0.017676767676767676,-0.008070740628880163,0.08139534883720931,0.10714285714285714,0.8114617940199336
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,intent.aggregate_noncount,161,0.577639751552795,0.577639751552795,0.0,-0.017676767676767676,0.017676767676767676,0.06832298136645963,0.06832298136645963,0.8633540372670807
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,intent.arithmetic,598,0.5869565217391305,0.5735785953177257,-0.013377926421404682,-0.017676767676767676,0.004298841255362994,0.08695652173913043,0.10033444816053512,0.8127090301003345
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,intent.comparison,56,0.4107142857142857,0.375,-0.03571428571428571,-0.017676767676767676,-0.018037518037518036,0.05357142857142857,0.08928571428571429,0.8571428571428571
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,intent.count,473,0.5560253699788583,0.5539112050739958,-0.0021141649048625794,-0.017676767676767676,0.015562602771905097,0.08668076109936575,0.08879492600422834,0.8245243128964059
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,intent.negation_marker,91,0.5384615384615384,0.5054945054945055,-0.03296703296703297,-0.017676767676767676,-0.015290265290265292,0.08791208791208792,0.12087912087912088,0.7912087912087912
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,intent.superlative_rank,205,0.5560975609756098,0.5170731707317073,-0.03902439024390244,-0.017676767676767676,-0.021347622567134763,0.05853658536585366,0.0975609756097561,0.8439024390243902
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,intent.temporal,859,0.5972060535506403,0.559953434225844,-0.037252619324796274,-0.017676767676767676,-0.019575851648028598,0.06752037252619325,0.10477299185098952,0.8277066356228172
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,"native.hitab_agg_type=['argmax', 'average']",1,0.0,0.0,0.0,-0.017676767676767676,0.017676767676767676,0.0,0.0,1.0
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,"native.hitab_agg_type=['argmax', 'opposite']",1,1.0,1.0,0.0,-0.017676767676767676,0.017676767676767676,0.0,0.0,1.0
hitab,Qwen/Qwen2.5-7B-Instruct,ctx.stats,ctx,native.hitab_agg_type=['argmax'],54,0.6111111111111112,0.5555555555555556,-0.05555555555555555,-0.017676767676767676,-0.03787878787878787,0.018518518518518517,0.07407407407407407,0.9074074074074074
