feature_slice_id,feature_label,feature_family,slice_id,context_indicator,n,dataset_count,datasets,base_mean_micro,score_mean_micro,delta_mean_micro,delta_se_micro,delta_ci95_low_micro,delta_ci95_high_micro,global_delta_mean_micro,diff_from_global_micro,win_rate_micro,loss_rate_micro,tie_rate_micro,delta_mean_macro,delta_se_macro,delta_ci95_low_macro,delta_ci95_high_macro,global_delta_mean_macro,diff_from_global_macro
ctx.stats | cell.has_comma_number,ctx.stats,ctx,cell.has_comma_number,cell.has_comma_number,1700,4,"hitab,sqa,tablebench,wtq",0.5838716838508384,0.5804446788914924,-0.003427004959346118,0.01056020547116811,-0.02412500768283561,0.017270997764143377,0.003384287599740693,-0.006811292559086812,0.09529411764705882,0.0976470588235294,0.8070588235294117,-0.01849117676187837,0.01854189791808258,-0.054833296681320226,0.017850943157563484,-0.0025277591850756754,-0.015963417576802696
ctx.stats | cell.has_currency,ctx.stats,ctx,cell.has_currency,cell.has_currency,230,3,"hitab,sqa,wtq",0.591304347826087,0.5739130434782609,-0.017391304347826087,0.02953035168178897,-0.07527079364413246,0.04048818494848029,0.003384287599740693,-0.02077559194756678,0.09130434782608696,0.10869565217391304,0.8,-0.0021285653469561524,0.0575531951514669,-0.11493282784383128,0.11067569714991897,-0.0025277591850756754,0.00039919383811952295
ctx.stats | cell.has_date_like,ctx.stats,ctx,cell.has_date_like,cell.has_date_like,16689,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7023248207872709,0.7040632804097117,0.0017384596224412263,0.003198284390741039,-0.00453017778341121,0.008007097028293662,0.003384287599740693,-0.0016458279772994667,0.08856132782072024,0.0869434957157409,0.8244951764635389,-0.002473668080017027,0.002701684690850854,-0.007768970074084701,0.0028216339140506473,-0.0025277591850756754,5.409110505864845e-05
ctx.stats | cell.has_numeric_range,ctx.stats,ctx,cell.has_numeric_range,cell.has_numeric_range,6989,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7023066553480115,0.7001025763497114,-0.002204078998300289,0.004996369177556399,-0.011996962586310831,0.007588804589710252,0.003384287599740693,-0.005588366598040982,0.08742309343253685,0.09100014308198598,0.8215767634854771,-0.009541146173144218,0.0042515048194170565,-0.017874095619201648,-0.0012081967270867883,-0.0025277591850756754,-0.007013386988068543
ctx.stats | cell.has_percent,ctx.stats,ctx,cell.has_percent,cell.has_percent,755,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6478078781977239,0.6685476752540954,0.02073979705637143,0.014807686272993623,-0.00828326803869607,0.04976286215143893,0.003384287599740693,0.017355509456630735,0.10331125827814569,0.0781456953642384,0.8185430463576159,0.016727374287192558,0.019983713457519724,-0.0224407040895461,0.055895452663931214,-0.0025277591850756754,0.019255133472268232
ctx.stats | cell.has_score_surface,ctx.stats,ctx,cell.has_score_surface,cell.has_score_surface,5483,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7345022546177212,0.7345092807639483,7.0261462271161075e-06,0.00560414211368206,-0.010977092396589722,0.010991144689043953,0.003384287599740693,-0.003377261453513577,0.08626664234907896,0.08626664234907896,0.827466715301842,-0.019446256306240584,0.027989824597516814,-0.07430631251737355,0.03541379990489237,-0.0025277591850756754,-0.01691849712116491
ctx.stats | cell.missing_value_marker,ctx.stats,ctx,cell.missing_value_marker,cell.missing_value_marker,5277,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6049463208499128,0.5913415475778372,-0.013604773272075588,0.005927891385102026,-0.02522344038687556,-0.0019861061572756175,0.003384287599740693,-0.016989060871816283,0.08736024256206178,0.10157286336933864,0.8110668940685996,-0.009789229141927563,0.006226984105969364,-0.021994117989627516,0.002415659705772389,-0.0025277591850756754,-0.007261469956851888
ctx.stats | grounding.cell_overlap,ctx.stats,ctx,grounding.cell_overlap,grounding.cell_overlap,17562,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7260619870284964,0.7309025619686992,0.00484057494020264,0.0030964908845650986,-0.0012285471935449535,0.010909697073950234,0.003384287599740693,0.001456287340461947,0.08723380025054094,0.08233686368295183,0.8304293360665073,-0.005238048854393265,0.005274504372724914,-0.015576077424934096,0.005099979716147566,-0.0025277591850756754,-0.0027102896693175895
ctx.stats | grounding.header_overlap,ctx.stats,ctx,grounding.header_overlap,grounding.header_overlap,15577,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7204964192739578,0.7242874121135537,0.0037909928395959565,0.003290878257894124,-0.002659128545876527,0.01024111422506844,0.003384287599740693,0.0004067052398552635,0.08762919689285485,0.08390575849008153,0.8284650446170636,-0.006253985390123004,0.008162160438421495,-0.022251819849429134,0.009743849069183127,-0.0025277591850756754,-0.003726226205047329
ctx.stats | intent.aggregate_noncount,ctx.stats,ctx,intent.aggregate_noncount,intent.aggregate_noncount,1666,5,"hitab,sqa,tab_fact,tablebench,wtq",0.5785526452229557,0.590842599075323,0.012289953852367431,0.009681459095648999,-0.0066857059751046066,0.03126561367983947,0.003384287599740693,0.008905666252626739,0.08643457382953182,0.07262905162064826,0.84093637454982,0.0007094549658573243,0.00995676142031501,-0.018805797417960096,0.020224707349674742,-0.0025277591850756754,0.0032372141509329996
ctx.stats | intent.arithmetic,ctx.stats,ctx,intent.arithmetic,intent.arithmetic,1028,5,"hitab,sqa,tab_fact,tablebench,wtq",0.5672888494659634,0.5803960238520031,0.013107174386039623,0.013415257913091536,-0.013186731123619788,0.039401079895699034,0.003384287599740693,0.00972288678629893,0.10019455252918288,0.08852140077821012,0.811284046692607,0.022252542620387568,0.023307631679967487,-0.023430415472348705,0.06793550071312385,-0.0025277591850756754,0.024780301805463242
ctx.stats | intent.comparison,ctx.stats,ctx,intent.comparison,intent.comparison,1187,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6849199663016007,0.6840775063184499,-0.0008424599831508003,0.012125972667420222,-0.024609366411294437,0.022924446444992835,0.003384287599740693,-0.004226747582891493,0.08677337826453244,0.08761583824768324,0.8256107834877844,-0.026870272467756744,0.023720915868043885,-0.07336326756912276,0.01962272263360927,-0.0025277591850756754,-0.02434251328268107
ctx.stats | intent.count,ctx.stats,ctx,intent.count,intent.count,2966,5,"hitab,sqa,tab_fact,tablebench,wtq",0.5151173049551246,0.5103734799804741,-0.0047438249746504435,0.008248541891344321,-0.020910967081685314,0.011423317132384425,0.003384287599740693,-0.008128112574391137,0.09946055293324342,0.10451786918408631,0.7960215778826703,-0.0035019338917063243,0.013741524654268682,-0.030435322214072944,0.023431454430660293,-0.0025277591850756754,-0.0009741747066306489
ctx.stats | intent.negation_marker,ctx.stats,ctx,intent.negation_marker,intent.negation_marker,1180,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6341562269712602,0.6366718027734977,0.0025155758022375563,0.014059288209779053,-0.025040629088929386,0.0300717806934045,0.003384287599740693,-0.0008687117975031368,0.11779661016949153,0.11610169491525424,0.7661016949152543,0.00945681037867481,0.02268200698753871,-0.03499992331690106,0.05391354407425068,-0.0025277591850756754,0.011984569563750484
ctx.stats | intent.superlative_rank,ctx.stats,ctx,intent.superlative_rank,intent.superlative_rank,4698,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6844846613482763,0.7025554609526512,0.01807079960437492,0.006455108400461758,0.0054187871394698744,0.030722812069279966,0.003384287599740693,0.014686512004634228,0.10706683695189442,0.08918688803746275,0.8037462750106428,0.007461315392394622,0.011779795019324607,-0.01562708284548161,0.03054971363027085,-0.0025277591850756754,0.009989074577470298
ctx.stats | intent.temporal,ctx.stats,ctx,intent.temporal,intent.temporal,8618,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7037630208586506,0.7079731062209002,0.0042100853622491574,0.004401944392077748,-0.004417725646223229,0.012837896370721545,0.003384287599740693,0.0008257977625084644,0.08586679043861685,0.08250174054304943,0.8316314690183337,-0.00037738405291312124,0.009785527958330936,-0.019557018851241753,0.018802250745415514,-0.0025277591850756754,0.0021503751321625543
ctx.stats | schema.has_date_col,ctx.stats,ctx,schema.has_date_col,schema.has_date_col,11385,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7093825284903342,0.713852230637591,0.004469702147256684,0.003875041524311785,-0.0031253792403944146,0.012064783534907784,0.003384287599740693,0.0010854145475159911,0.08888888888888889,0.08449714536671059,0.8266139657444005,0.003078317200150654,0.009483613634838758,-0.015509565524133313,0.02166619992443462,-0.0025277591850756754,0.00560607638522633
ctx.stats | schema.has_rank_col,ctx.stats,ctx,schema.has_rank_col,schema.has_rank_col,5969,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7077818550464953,0.7140615565141978,0.00627970146770272,0.0051722596474920515,-0.0038579274413817017,0.01641733037678714,0.003384287599740693,0.002895413867962027,0.08527391522868152,0.07857262523035684,0.8361534595409617,0.041042781141772476,0.03189760157781523,-0.02147651795074538,0.10356208023429034,-0.0025277591850756754,0.04357054032684815
ctx.stats | schema.has_score_col,ctx.stats,ctx,schema.has_score_col,schema.has_score_col,7708,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7331269280831327,0.7306841987721214,-0.0024427293110115215,0.0046942101538239595,-0.011643381212506482,0.0067579225904834395,0.003384287599740693,-0.005827016910752214,0.08419823559937727,0.08666320705760248,0.8291385573430202,-0.019943173270721155,0.019574673631689552,-0.058309533588832674,0.018423187047390363,-0.0025277591850756754,-0.01741541408564548
ctx.stats | schema.has_unit_col,ctx.stats,ctx,schema.has_unit_col,schema.has_unit_col,1848,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6417422229323327,0.6465567385784977,0.0048145156461647486,0.009612131058095198,-0.01402526122770184,0.023654292520031338,0.003384287599740693,0.0014302280464240555,0.09794372294372294,0.09415584415584416,0.8079004329004329,-0.0004213094967842355,0.010223749960586146,-0.020459859419533082,0.01961724042596461,-0.0025277591850756754,0.0021064496882914397
ctx.stats | schema.header_repetition_marker,ctx.stats,ctx,schema.header_repetition_marker,schema.header_repetition_marker,1388,5,"hitab,sqa,tab_fact,tablebench,wtq",0.570350486939888,0.567383719872929,-0.0029667670669590016,0.011844513197541014,-0.02618201293413939,0.020248478800221383,0.003384287599740693,-0.006351054666699695,0.09726224783861671,0.1037463976945245,0.7989913544668588,0.05145201824131983,0.08772441208375342,-0.12048782944283688,0.22339186592547655,-0.0025277591850756754,0.0539797774263955
ctx.stats | table.cols_bin=0_3,ctx.stats,ctx,table.cols_bin=0_3,table.cols_bin=0_3,136,3,"hitab,sqa,wtq",0.6985294117647058,0.6470588235294118,-0.051470588235294115,0.031862745098039214,-0.11392156862745098,0.010980392156862744,0.003384287599740693,-0.05485487583503481,0.04411764705882353,0.09558823529411764,0.8602941176470589,-0.021806853582554516,0.021806853582554513,-0.06454828660436136,0.020934579439252327,-0.0025277591850756754,-0.01927909439747884
ctx.stats | table.cols_bin=4_6,ctx.stats,ctx,table.cols_bin=4_6,table.cols_bin=4_6,14136,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7079782132289401,0.7084461983548201,0.00046798512588011316,0.003451134254495892,-0.006296238012931835,0.007232208264692062,0.003384287599740693,-0.00291630247386058,0.08644595359366157,0.08651669496321449,0.827037351443124,-0.010834533460912597,0.009313209533330447,-0.02908842414624027,0.007419357224415078,-0.0025277591850756754,-0.008306774275836922
ctx.stats | table.cols_bin=7_10,ctx.stats,ctx,table.cols_bin=7_10,table.cols_bin=7_10,6755,5,"hitab,sqa,tab_fact,tablebench,wtq",0.690146935080706,0.6995491646549018,0.009402229574195634,0.005044358737306166,-0.00048471355092445136,0.019289172699315717,0.003384287599740693,0.006017941974454941,0.09311621021465581,0.08393782383419689,0.8229459659511473,0.007795593560372025,0.0035810878317011196,0.0007766614102378304,0.014814525710506218,-0.0025277591850756754,0.010323352745447701
ctx.stats | table.cols_bin=gt_10,ctx.stats,ctx,table.cols_bin=gt_10,table.cols_bin=gt_10,794,4,"hitab,tab_fact,tablebench,wtq",0.6371701514557347,0.65067272223761,0.013502570781875223,0.015885015010763406,-0.017632058639221054,0.0446372002029715,0.003384287599740693,0.01011828318213453,0.10957178841309824,0.10075566750629723,0.7896725440806045,0.022211837565670432,0.021420032045271396,-0.019771425243061504,0.06419510037440238,-0.0025277591850756754,0.024739596750746107
ctx.stats | table.numeric_cols_bin=0,ctx.stats,ctx,table.numeric_cols_bin=0,table.numeric_cols_bin=0,3898,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7147255002565418,0.7116469984607491,-0.0030785017957927143,0.006922589033635306,-0.016646776301717913,0.010489772710132485,0.003384287599740693,-0.006462789395533407,0.0918419702411493,0.09492047203694202,0.8132375577219086,-0.035724744083941246,0.03020053347623948,-0.09491778969737062,0.02346830152948813,-0.0025277591850756754,-0.03319698489886557
ctx.stats | table.numeric_cols_bin=1,ctx.stats,ctx,table.numeric_cols_bin=1,table.numeric_cols_bin=1,7480,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7276737967914438,0.7324866310160428,0.004812834224598931,0.004741741186633818,-0.004480978501203352,0.014106646950401213,0.003384287599740693,0.0014285466248582378,0.08649732620320856,0.08168449197860962,0.8318181818181818,0.01169270922413177,0.005259505949544001,0.0013840775630255282,0.02200134088523801,-0.0025277591850756754,0.014220468409207446
ctx.stats | table.numeric_cols_bin=2_3,ctx.stats,ctx,table.numeric_cols_bin=2_3,table.numeric_cols_bin=2_3,5634,5,"hitab,sqa,tab_fact,tablebench,wtq",0.7163946640610706,0.7162020927009758,-0.00019257136009463965,0.005308323659609372,-0.010596885732929008,0.01021174301273973,0.003384287599740693,-0.0035768589598353328,0.08146964856230032,0.08129215477458289,0.8372381966631168,-0.02144653178890401,0.016331909415479202,-0.053457074243243245,0.010564010665435226,-0.0025277591850756754,-0.018918772603828335
ctx.stats | table.numeric_cols_bin=ge_4,ctx.stats,ctx,table.numeric_cols_bin=ge_4,table.numeric_cols_bin=ge_4,4809,5,"hitab,sqa,tab_fact,tablebench,wtq",0.625008968935381,0.6356002533514168,0.010591284416035539,0.006022194785703777,-0.0012122173639438644,0.02239478619601494,0.003384287599740693,0.007206996816294846,0.09981285090455397,0.09232688708671241,0.8078602620087336,0.008838215345588178,0.008225983977196675,-0.007284713249717306,0.02496114394089366,-0.0025277591850756754,0.011365974530663854
ctx.stats | table.numeric_density_bin=high,ctx.stats,ctx,table.numeric_density_bin=high,table.numeric_density_bin=high,5196,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6333840769151432,0.6393849022435892,0.006000825328446125,0.005751690555701685,-0.005272488160729176,0.017274138817621427,0.003384287599740693,0.002616537728705432,0.0964203233256351,0.09334103156274057,0.8102386451116244,0.006070298453942587,0.010224529137415202,-0.013969778655391209,0.026110375563276382,-0.0025277591850756754,0.008598057639018261
