feature_label,feature_family,n,dataset_count,datasets,base_mean_micro,score_mean_micro,delta_mean_micro,delta_se_micro,delta_ci95_low_micro,delta_ci95_high_micro,win_rate_micro,loss_rate_micro,tie_rate_micro,delta_mean_macro,delta_se_macro,delta_ci95_low_macro,delta_ci95_high_macro
ctx.stats,ctx,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.703207195300136,0.003384287599740693,0.0027948281645425468,-0.002093575602762698,0.008862150802244085,0.08908849273635489,0.08629302048485404,0.8246184867787911,-0.0025277591850756754,0.004276024936476169,-0.010908768060568966,0.005853249690417616
ctx.type,ctx,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7014233091996546,0.0016004014992594825,0.0022092333845539604,-0.0027296959344662803,0.005930498932985245,0.05645937399752532,0.05499289675083635,0.8885477292516384,0.0014467707595443038,0.0015206928065173435,-0.0015337871412296894,0.004427328660318297
format.json,format,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.6780696279719487,-0.02175327972844617,0.0029395811694457,-0.02751485882055974,-0.015991700636332595,0.08588057375922277,0.10806104211539343,0.8060583841253838,-0.026799561768345127,0.016446269735753822,-0.05903425045042261,0.0054351269137323625
reason.critique_revise,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7057575153015992,0.005934607601204116,0.0025394513214235122,0.000957283011214032,0.010911932191194199,0.07570688786031804,0.0697493240456441,0.8545437880940379,-0.0002364847810111726,0.004120983589473109,-0.008313612616378467,0.007840643054356122
reason.decompose,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7090581647782409,0.009235257077845921,0.002626503663631883,0.00408730989712743,0.014383204258564411,0.08258099995417259,0.07318638009257138,0.844232619953256,0.007456862208485529,0.004465336552570789,-0.0012951974345532177,0.016208921851524276
reason.enumerate,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7104119908936648,0.010589083193269754,0.002716556785101176,0.005264631894471449,0.01591353449206806,0.08830942669905137,0.07758581183263828,0.8341047614683104,0.009555816113807774,0.004895896123312286,-4.0140287884305945e-05,0.019151772515499856
reason.evidence_localize,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7057579199005971,0.00593501220020201,0.0025892462803654547,0.0008600894906857191,0.011009934909718301,0.07859401493973694,0.07259062371110399,0.848815361349159,0.004245905684321748,0.0020756925349996115,0.00017754831572250936,0.008314263052920986
reason.evidence_table,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.6994416346378206,-0.0003812730625743484,0.00284540068980086,-0.005958258414584034,0.005195712289435338,0.09096741670867513,0.09096741670867513,0.8180651665826497,-0.001880978932067473,0.005068286999503604,-0.011814821451094538,0.00805286358695959
reason.extract_compute,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7152974619177995,0.015474554217404035,0.0027810754320979165,0.01002364637049212,0.02092546206431595,0.09513771137894689,0.07891480683745017,0.825947481783603,0.013407605591187779,0.006027208330728319,0.0015942772629602732,0.025220933919415284
reason.plan_answer,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.6714946493482299,-0.02832825835216533,0.003060702801707975,-0.03432723584351296,-0.0223292808608177,0.0912423811924293,0.11919710370743779,0.7895605151001329,-0.027577332579456004,0.011658423159370795,-0.05042784197182276,-0.004726823187089245
reason.symbolic_op,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.6913356722340521,-0.008487235466343342,0.002925382348166136,-0.014220984868748968,-0.0027534860639377157,0.0913798634343064,0.10054534622611246,0.8080747903395812,-0.020579058947678745,0.015239266972193131,-0.05044802221317728,0.009289904317819793
reason.verify,reason,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7088036974113804,0.00898078971098509,0.0025584347373578185,0.003966257625763765,0.013995321796206415,0.07818156821410568,0.06942853214793089,0.8523898996379634,0.0078031822351426906,0.002829090617624287,0.0022581646245990877,0.013348199845686293
ser.html,ser,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7166502445437225,0.016827336843327007,0.0027997094237121396,0.011339906372851214,0.022314767313802802,0.09651253379771779,0.07996883735850786,0.8235186288437744,0.009372564167355603,0.004904118518725167,-0.00023950812934572276,0.01898463646405693
ser.records,ser,21821,5,"hitab,sqa,tab_fact,tablebench,wtq",0.6998229077003956,0.7247172621755421,0.024894354475147106,0.0028809547290432756,0.019247683206222284,0.03054102574407193,0.10595298107327804,0.08097704046560653,0.8130699784611154,0.021687486119592238,0.003893045664805119,0.014057116616574205,0.029317855622610273
